acc_z_mean,acc_z_var,gyro_z_mean,gyro_z_var,motor_input_mean,motor_input_var,acc_xyz_mean,acc_xyz_var,acc_xy_mean,acc_xy_var,gyro_xy_mean,gyro_xy_var,gyro_xyz_mean,gyro_xyz_var,acc_z_spectral_centroid,acc_z_spectral_var,gyro_z_spectral_centroid,gyro_z_spectral_var,motor_input_spectral_centroid,motor_input_spectral_var,acc_xyz_spectral_centroid,acc_xyz_spectral_var,acc_xy_spectral_centroid,acc_xy_spectral_var,gyro_xy_spectral_centroid,gyro_xy_spectral_var,gyro_xyz_spectral_centroid,gyro_xyz_spectral_var,class,group
-0.456257273516392,6.477124426999029,0.0001278465677789,0.0901927101051014,0.0,0.0,2.7808898457023505,5.748871050353564,1.8023327067278927,3.5485210719072766,0.8507776065050575,0.7348493878617641,0.912968423959822,0.7153533068944031,34.13512696256414,376.2326100291304,34.99791023089744,468.9233796496462,0.0,0.0,34.397900425095585,344.89822034594306,34.71446921848677,302.34782026541745,34.28967214022636,539.2224677159966,34.32652782916455,533.2063475339567,Bounce,Bounce-1-29may
-0.139098035386452,3.67581908465138,-0.0110528097951713,0.0970184959349331,0.0,0.0,2.3347042636393307,3.161536219460083,1.668099943027343,2.134655450088176,0.5557746836909059,0.1603278649805576,0.6465697804963937,0.1483015435004307,36.15614698897094,466.96522848917385,36.31021784222303,594.7124313228653,0.0,0.0,36.278357266010126,441.8868399855041,36.41197876966336,419.8894227935506,35.988283414316065,543.8371967096322,36.03873005586082,556.390874481512,Bounce,Bounce-1-29may
-0.7505949884454133,4.742679010642552,-0.0054124804958998,0.1216923653352656,0.0,0.0,2.502934836597552,4.054105192934228,1.5625403459882077,2.571183809024972,0.6078347528581967,0.240299778819439,0.6666967026241334,0.287000032592116,35.93754085513208,497.7483003854784,37.42179244172285,573.6122791260294,0.0,0.0,36.41599355969886,424.1315223862621,37.15931515634613,329.1102719955832,37.35076581745611,538.5037157819581,37.36247258904712,549.7572268529792,Bounce,Bounce-1-29may
-0.3023548589804743,4.2818597806866,-0.0034350568842548,0.10363159718088,0.0,0.0,2.17012833648008,3.4672601819830726,1.3976743210360445,1.849945429657602,0.5259756022027776,0.155791116344753,0.5878991112133514,0.1904594822885572,36.781836869682245,557.8671152658109,37.44730184147289,593.5906495714182,0.0,0.0,36.91751512590344,484.65373509713663,37.01615412422125,402.8224845601656,36.71910551778095,609.1621943222476,36.81518684386033,611.8554942059518,Bounce,Bounce-1-29may
-0.8227969510924746,3.683359961216044,0.0181488101580607,0.0337617602957544,0.0,0.0,2.0204889702879667,2.8611528253934093,1.1233866669696395,1.3211761169804666,0.8572815944799405,0.1558614114673962,0.8777238145578138,0.1544851886654536,31.72427976071986,400.28253802041735,33.03793962968884,502.3428550415529,0.0,0.0,32.13953303531655,371.2557217005772,33.39298793722438,311.34069895522936,31.291394414514052,553.9852299013838,31.372441693339603,553.2945116835168,Bounce,Bounce-1-29may
-0.9469401278033548,5.4707999531262805,-0.0915406367256582,0.3504271263401209,0.0,0.0,2.676426408646958,4.215764031426966,1.6641162591797298,2.242243869492966,1.1315039690773565,0.4923944552356425,1.2297472664653208,0.6192241624067845,28.621440884815456,368.8763797567258,29.78067869565228,465.5465799554286,0.0,0.0,29.25319757281581,328.60146246614755,29.986372226361187,275.06486899689804,26.518781437860657,427.427709105554,27.09466142313341,442.1466946080874,Bounce,Bounce-1-29may
-0.516278192890185,5.596544536056091,-0.0017483394513301,0.0222847549484667,0.0,0.0,2.13279719986593,2.4077773792362005,0.92434118618355,0.2391069380068964,0.3165685149688169,0.0428947440731539,0.3584427780079255,0.0369169552759809,35.48466376041174,419.51372972964,36.429768837855214,581.6892476837504,0.0,0.0,35.56469976359825,431.9994959403263,35.99691257873001,481.6392232589394,35.976698047005584,582.0529608082978,36.022084993204366,584.0080751989308,Bounce,Bounce-1-29may
-0.0625080296076796,2.6312484685377697,-0.0158957568184675,0.0166213618849693,0.0,0.0,1.171826825212114,1.8088431662656697,0.5883283187312416,0.2007353416280406,0.1670158083448822,0.0150124349219529,0.206995146816624,0.0169337613232128,34.818296833568866,377.8279049340666,34.27296578491573,541.5316571137809,0.0,0.0,34.49064464188194,395.1401689413256,33.840584987352095,443.170913858702,32.94153956408267,556.539033027939,33.216534696448726,552.7681475892268,Bounce,Bounce-1-29may
-0.4926502819564503,7.573026601034344,-0.0028566597865248,0.061365400688688,0.0,0.0,2.418856601295237,4.061156679386405,1.0206809963132644,1.054503339434799,0.4337621309715823,0.1565431920594927,0.4912578912184748,0.1647320238339018,30.735214654784286,312.3030221633129,31.44188404423793,436.65847615561006,0.0,0.0,30.820010632035466,319.3380678065599,31.112545740940227,357.0089765607168,31.042014441325925,497.3214000730435,31.08564423653925,490.5993239338838,Bounce,Bounce-1-29may
-0.2177156321268623,3.3997635687745,0.0042308634901721,0.069973411096249,0.0,0.0,1.665837391154149,2.5546554304106297,1.0619515227402632,0.7547649422806303,0.4232501933111063,0.1499631252862445,0.4926673786162241,0.1563740167736728,33.47886099393539,404.9919725171184,33.90784967459927,464.6506753439267,0.0,0.0,33.572693436804755,413.9611172894486,33.807051468273656,427.4361618987136,33.12065378440885,582.0521251530853,33.21333207178689,568.9875537541611,Bounce,Bounce-1-29may
